geneNames geneIDs feature id fc pval qval
1 . NONMMUG049745.1 transcript 19828 3.93689144831011 6.50133276769438e-07 0.0167734385406515
2 Zmynd11 ENSMUSG00000021156.17 transcript 58848 0.105860696934309 2.39573275284677e-06 0.0309049525117233
3 Slc25a37 ENSMUSG00000034248.7 transcript 78477 0.0764848476426516 5.72335175552663e-06 0.049220825097529
4 Oaf ENSMUSG00000032014.6 transcript 242684 0.372518562700691 1.52804003626938e-05 0.0896330363944076
5 Ccdc115 ENSMUSG00000042111.9 transcript 2089 0.101690528766867 1.73707434872883e-05 0.0896330363944076
6 . NONMMUG044105.2 transcript 252778 0.330207859757692 2.63841035077483e-05 0.113451645083318
7 RP24-173L14.5 ENSMUSG00000079559.4 transcript 244075 3.26731414330402 4.72584968804757e-05 0.171185863052425
8 . NONMMUG093947.1 transcript 176066 5.61486962233115 5.86751952871278e-05 0.171185863052425
9 . NONMMUG008418.2 transcript 47049 5.35843148308528 5.97159987392182e-05 0.171185863052425
10 . NONMMUG038229.2 transcript 214349 2.94508610584564 7.53973534344254e-05 0.194525171860818
11 Eif4a2 ENSMUSG00000022884.14 transcript 94856 3.58892312972005 9.77552918273172e-05 0.229280593558617
12 Xpnpep1 ENSMUSG00000025027.17 transcript 122932 4.8965086163768 0.000171898141154925 0.343311324817202
13 . NONMMUG006193.2 transcript 35891 0.0873408092031518 0.000185488262030797 0.343311324817202
14 RP24-290P19.4 ENSMUSG00000079225.3 transcript 247990 10.7394476377002 0.00019769310282336 0.343311324817202
15 . NONMMUG053250.1 transcript 39208 0.0732152679018765 0.000199599607451861 0.343311324817202
16 . NONMMUG000340.2 transcript 2024 5.00979838916342 0.00022938131936856 0.344895365155303
17 . NONMMUG008384.2 transcript 46857 3.96216513251785 0.000238969335917272 0.344895365155303
18 . NONMMUG090734.1 transcript 87778 2.23822826014229 0.000240624673364165 0.344895365155303
19 . NONMMUG052330.1 transcript 40157 4.74559154219935 0.000260051764900737 0.353122922865212
20 . NONMMUG023154.2 transcript 130097 3.37873089704655 0.000282221419588669 0.355845598663266
21 Arhgap35 ENSMUSG00000058230.12 transcript 207056 0.13346220776577 0.000289641766353821 0.355845598663266
22 RP24-290P19.4 ENSMUSG00000079225.3 transcript 247989 0.257929630383297 0.000338043345937011 0.380549420800103
23 Ptpn21 ENSMUSG00000021009.15 transcript 55126 0.246601789957946 0.000362242056851647 0.380549420800103
24 Ndufa2 ENSMUSG00000014294.4 transcript 113624 0.18518850366541 0.000368946763314115 0.380549420800103
25 Trim43b ENSMUSG00000079162.8 transcript 248663 0.231329359379972 0.000376141573002475 0.380549420800103
26 Dnaja1 ENSMUSG00000028410.13 transcript 160896 7.17905114132764 0.000391978793195857 0.380549420800103
27 Taok2 ENSMUSG00000059981.12 transcript 221824 4.57350798613772 0.000410310697168792 0.380549420800103
28 Rbm5 ENSMUSG00000032580.12 transcript 251403 3.43752223566598 0.000417757419915121 0.380549420800103
29 . NONMMUG075479.1 transcript 178157 4.25885190837915 0.00043312595052547 0.380549420800103
30 Slc25a37 ENSMUSG00000034248.7 transcript 78478 10.842131398371 0.000442499326511747 0.380549420800103
31 . NONMMUG024114.2 transcript 134869 0.2861826274554 0.000462538968204695 0.381345451097286
32 . NONMMUG049569.2 transcript 17877 6.27446373235125 0.000472986606012138 0.381345451097286
33 . NONMMUG069723.1 transcript 149655 5.09031821269772 0.000539232301681292 0.390710632587865
34 . NONMMUG044572.2 transcript 255400 6.24722535321692 0.000542562685390324 0.390710632587865
35 Agps ENSMUSG00000042410.15 transcript 131611 0.483655660713714 0.000544073791408861 0.390710632587865
36 . NONMMUG009810.2 transcript 55692 23.5120670789542 0.000545177626866789 0.390710632587865
37 Acvr1 ENSMUSG00000026836.15 transcript 129775 0.143760376443355 0.000561539694021507 0.391560110966348
38 . NONMMUG038933.2 transcript 219056 11.2909352056254 0.000588761000984817 0.396992427486375
39 Epc1 ENSMUSG00000024240.13 transcript 111524 0.155134112407388 0.000600817615861171 0.396992427486375
40 Ppp1r8 ENSMUSG00000028882.13 transcript 169788 0.208971941219029 0.000620990534887622 0.396992427486375
41 Klhdc1 ENSMUSG00000051890.13 transcript 52031 4.72117522669408 0.000647730048071171 0.396992427486375
42 Ghr ENSMUSG00000055737.12 transcript 82100 3.91989449963652 0.000671647424513755 0.396992427486375
43 Fstl1 ENSMUSG00000022816.11 transcript 96339 0.2088652300311 0.000686894443185926 0.396992427486375
44 Ube2k ENSMUSG00000029203.16 transcript 179435 0.251687780411415 0.000696000388307305 0.396992427486375
45 . NONMMUG094051.1 transcript 181453 6.85975783702931 0.000706628041670543 0.396992427486375
46 Tgfb1i1 ENSMUSG00000030782.16 transcript 222351 0.121964514506571 0.00070781595598346 0.396992427486375
47 Mrpl42 ENSMUSG00000062981.5 transcript 26847 0.173232349490571 0.000739168818044478 0.398237855100253
48 . NONMMUG041612.2 transcript 236512 0.0342132460430799 0.000754917408195221 0.398237855100253
49 . NONMMUG092374.1 transcript 129187 2.66661914613184 0.000756537023880677 0.398237855100253
50 Gtf2f1 ENSMUSG00000002658.9 transcript 108279 0.226233208009814 0.000780830836788482 0.398237855100253
51 AC123686.4 ENSMUSG00000039244.10 transcript 189276 3.87090328489395 0.000787214364733058 0.398237855100253
52 Dctn6 ENSMUSG00000031516.11 transcript 228356 0.111887562737491 0.000811732259599185 0.400429138976137
53 Lsm3 ENSMUSG00000034192.5 transcript 199224 0.194265546942151 0.000822586990919971 0.400429138976137
54 Nek4 ENSMUSG00000021918.10 transcript 73352 5.02521139831214 0.000844185250138185 0.4033329528438
55 . NONMMUG093809.1 transcript 186020 4.79699431948383 0.000899182849406821 0.4217985002672
56 Eif2s3x ENSMUSG00000035150.15 transcript 259227 0.340430777043354 0.000948442830334573 0.436961161118428
57 Man2b2 ENSMUSG00000029119.9 transcript 177470 0.310643111509387 0.00099743779948569 0.447758598673279
58 . NONMMUG023520.2 transcript 131737 13.4521029674536 0.00102960198233182 0.447758598673279
59 Gnas ENSMUSG00000027523.19 transcript 142935 0.0136306160626881 0.00103201283434384 0.447758598673279
60 Slc35d1 ENSMUSG00000028521.17 transcript 165634 2.2653020784411 0.00104129906668204 0.447758598673279
61 . NONMMUG034741.2 transcript 191875 0.232729831937067 0.00109823392615915 0.458368726918474
62 Lztfl1 ENSMUSG00000025245.14 transcript 254128 3.95254679405999 0.00111962344392191 0.458368726918474
63 Fxyd5 ENSMUSG00000009687.14 transcript 209887 0.194481443354935 0.00112644266258788 0.458368726918474
64 . NONMMUG031655.2 transcript 173892 2.72493913502051 0.00113703870243342 0.458368726918474
